Respondent,Gender,University,Level of Education,Province,Fields of Study,Type of AI,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15,PE16,PE17,PE18,PE19,PE20,CU1,CU2,CU3,CU4,ATU1,ATU2,ATU3,ATU4,ATU5,AUP1,AUP2,AUP3,AUP4,AUP5,MIUA1,MIUA2,MIUA3,MIUA4,MIUA5,Gender_Label,University_Label,Education_Label,Province_Label,Field_Label,AI_Label,PE_Score,CU_Score,ATU_Score,AUP_Score,MIUA_Score,PE_S,CU_S,ATU_S,AUP_S,MIUA_S
2,1,1,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",Canva - IA,1.0,1.5,1.8,1.2,1.0,-0.7060901438953185,-0.321760558115908,-1.0843305483266532,-1.5438388449205906,-1.1710806315590252
3,1,1,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",Canva - IA,2.65,2.25,2.2,1.8,2.0,-0.09936344382004134,0.8141189960382359,0.853465154118939,0.22074010429329594,0.3813095201548038
4,1,1,2.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,3.0,3.0,3.4,2.8,3.0,-0.09936344382004134,0.8141189960382359,0.853465154118939,0.22074010429329594,0.3813095201548038
5,2,1,2.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,3.0,3.0,3.4,2.8,3.0,-1.5728425725742858,-1.0790135942186705,-1.730262449141851,-0.8380072652350357,-1.1710806315590252
6,1,1,2.0,8.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Male,Public,Undergraduate (S1),Jambi (Jambi),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.15,1.75,1.8,2.2,2.0,-0.44606441529162855,-0.321760558115908,0.20753325330374156,0.22074010429329594,-0.23964654053072765
7,2,1,2.0,4.0,3.0,9.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",Eduten,2.8,2.25,3.0,2.8,2.6,0.3340127705194423,-0.321760558115908,-0.1154326971038575,-0.4850914753922587,-0.5501245708734936
8,1,1,2.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,Male,Public,Undergraduate (S1),Jambi (Jambi),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.25,2.25,2.8,2.4,2.4,-3.04632170132853,0.056865959935473324,-1.730262449141851,-1.5438388449205906,-2.723470783272854
9,1,1,2.0,4.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",Others,1.3,2.5,1.8,1.8,1.0,-2.179569272649563,-2.2148931483728145,0.20753325330374156,-0.8380072652350357,-1.4815586619017909
10,2,1,2.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",ChatGPT,1.8,1.0,3.0,2.2,1.8,-2.5262702441211498,-1.457640112270052,-1.0843305483266532,-1.1909230550778134,-2.1025147225873226
11,1,1,2.0,4.0,6.0,12.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Others,1.6,1.5,2.2,2.0,1.4,-0.09936344382004134,0.8141189960382359,0.853465154118939,-0.132175685549481,0.3813095201548038
12,2,1,2.0,4.0,6.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Perplexity.AI,3.0,3.0,3.4,2.6,3.0,0.5940384991231323,1.1927455140896173,1.4993970549341364,0.22074010429329594,1.3127436111831012
14,2,1,2.0,4.0,0.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,3.4,3.25,3.8,2.8,3.6,-0.09936344382004134,-0.7003870761672892,-0.1154326971038575,0.22074010429329594,-0.23964654053072765
15,2,1,2.0,4.0,0.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Others,2.05,1.75,2.4,2.2,1.8,1.114089956330513,0.43549247798685464,2.1453289557493345,1.985319053507183,1.6232216415258667
16,2,1,2.0,4.0,0.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Others,3.0,2.0,2.8,2.8,2.6,0.6807137419910295,1.1927455140896173,-0.1154326971038575,0.22074010429329594,0.6917875504975699
